block,startIndex,endIndex,status,runtime
1,0,51299,2,3655.879000
2,51300,102599,2,3300.232000
3,102600,153899,2,3895.835000
4,153900,205199,2,4610.458000
5,205200,256499,2,3358.204000
6,256500,307799,2,3668.294000
7,307800,359099,2,4510.179000
8,359100,410399,2,3820.783000
9,410400,461699,2,3268.076000
10,461700,512999,2,3887.961000
11,513000,564299,2,4350.946000
12,564300,615599,2,3806.889000
13,615600,666899,2,3295.660000
14,666900,718199,2,3862.413000
15,718200,769499,2,5810.878000
16,769500,820799,2,3348.501000
17,820800,872099,2,3134.076000
18,872100,923399,2,4161.850000
19,923400,974699,2,4015.537000
20,974700,1025999,2,3253.623000
21,1026000,1077299,2,3862.918000
22,1077300,1128599,2,4171.515000
23,1128600,1179899,2,5041.245000
24,1179900,1231199,2,3018.355000
25,1231200,1282499,2,3502.749000
26,1282500,1333799,2,4788.615000
27,1333800,1385099,2,3560.712000
28,1385100,1436399,2,3250.414000
29,1436400,1487699,2,4085.710000
30,1487700,1538999,2,4557.944000
31,1539000,1590299,2,3374.972000
32,1590300,1641599,2,4517.508000
33,1641600,1692899,2,3473.689000
34,1692900,1744199,2,4215.269000
35,1744200,1795499,2,3152.012000
36,1795500,1846799,2,3689.735000
37,1846800,1898099,2,4712.387000
38,1898100,1949399,2,3803.077000
39,1949400,2000699,2,3530.305000
40,2000700,2051999,2,3445.990000
41,2052000,2103299,2,4708.352000
42,2103300,2154599,2,4098.779000
43,2154600,2205899,2,3655.826000
44,2205900,2257199,2,3811.549000
45,2257200,2308499,2,4316.587000
46,2308500,2359799,2,3237.536000
47,2359800,2411099,2,3812.527000
48,2411100,2462399,2,3960.227000
49,2462400,2513699,2,4903.250000
50,2513700,2564999,2,3060.469000
51,2565000,2616299,2,3801.035000
52,2616300,2667599,2,4777.963000
53,2667600,2718899,2,3582.527000
54,2718900,2770199,2,3481.845000
55,2770200,2821499,2,4157.700000
56,2821500,2872799,2,3829.310000
57,2872800,2924099,2,3214.774000
58,2924100,2975399,2,3833.462000
59,2975400,3026699,2,4823.814000
60,3026700,3077999,2,4149.401000
61,3078000,3129299,2,3152.134000
62,3129300,3180599,2,3878.728000
63,3180600,3231899,2,5090.016000
64,3231900,3283199,2,3274.037000
65,3283200,3334499,2,3384.842000
66,3334500,3385799,2,3969.119000
67,3385800,3437099,2,4492.040000
68,3437100,3488399,2,3317.892000
69,3488400,3539699,2,4541.371000
70,3539700,3590999,2,3797.254000
71,3591000,3642299,2,3881.987000
72,3642300,3693599,2,3267.000000
73,3693600,3744899,2,3809.707000
74,3744900,3796199,2,4475.712000
75,3796200,3847499,2,3806.554000
76,3847500,3898799,2,3359.971000
77,3898800,3950099,2,3435.430000
78,3950100,4001399,2,4902.349000
79,4001400,4052699,2,3411.253000
80,4052700,4103999,2,4314.005000
81,4104000,4155299,2,3943.162000
82,4155300,4206599,2,4106.392000
83,4206600,4257899,2,3272.620000
84,4257900,4309199,2,3843.497000
85,4309200,4360499,2,4262.172000
86,4360500,4411799,2,3798.994000
87,4411800,4463099,2,3092.057000
88,4463100,4514399,2,4599.955000
89,4514400,4565699,2,4853.433000
90,4565700,4616999,2,3428.561000
91,4617000,4668299,2,3414.463000
92,4668300,4719599,2,4195.369000
93,4719600,4770899,2,4275.919000
94,4770900,4822199,2,2986.703000
95,4822200,4873499,2,3980.916000
96,4873500,4924799,2,4637.763000
97,4924800,4976099,2,4211.685000
98,4976100,5027399,2,3283.001000
99,5027400,5078699,2,3815.835000
100,5078700,5129999,2,4373.753000
